Index,Date,Open,High,Low,Close
SENSEX,2023-11-13,65158.31,65176.96,64853.36,64933.87
SENSEX,2023-11-15,65461.54,65747.65,65373.5,65675.93
SENSEX,2023-11-16,65665.87,66358.37,65507.02,65982.48
SENSEX,2023-11-17,65788.79,66037.69,65639.74,65794.73
SENSEX,2023-11-20,65787.51,65844.01,65547.8,65655.15
SENSEX,2023-11-21,65860.46,66082.36,65849.17,65930.77
SENSEX,2023-11-22,65839.62,66063.43,65664.85,66023.24
SENSEX,2023-11-23,66084.37,66235.24,65980.5,66017.81
SENSEX,2023-11-24,66000.29,66101.64,65894.05,65970.04
SENSEX,2023-11-28,66063.72,66256.2,65906.65,66174.2
SENSEX,2023-11-29,66381.26,66946.28,66374.52,66901.91
SENSEX,2023-11-30,66963.2,67069.89,66610.35,66988.44
SENSEX,2023-12-01,67181.15,67564.33,67149.07,67481.19
SENSEX,2023-12-04,68435.34,68918.22,68274.47,68865.12
SENSEX,2023-12-05,69168.53,69381.31,68954.88,69296.14
SENSEX,2023-12-06,69534.93,69744.62,69395.01,69653.73
SENSEX,2023-12-07,69694.15,69695.33,69320.53,69521.69
SENSEX,2023-12-08,69666.38,69893.8,69506.12,69825.6
SENSEX,2023-12-11,69925.63,70057.83,69782.48,69928.53
SENSEX,2023-12-12,70020.68,70033.64,69443.85,69551.03
SENSEX,2023-12-13,69648.56,69657.93,69100.56,69584.6
SENSEX,2023-12-14,70146.09,70602.89,70110.75,70514.2
SENSEX,2023-12-15,70804.13,71605.76,70655.97,71483.75
SENSEX,2023-12-18,71437.35,71552.24,71142.29,71315.09
SENSEX,2023-12-19,71479.28,71623.71,71071.98,71437.19
SENSEX,2023-12-20,71647.66,71913.07,70302.6,70506.31
SENSEX,2023-12-21,69920.89,70958.71,69920.39,70865.1
SENSEX,2023-12-22,71045.65,71259.55,70713.56,71106.96
SENSEX,2023-12-26,71097.78,71471.29,71012.08,71336.8
SENSEX,2023-12-27,71492.02,72119.85,71473.65,72038.43
SENSEX,2023-12-28,72262.67,72484.34,72137.45,72410.38
SENSEX,2023-12-29,72351.59,72417.01,72082.64,72240.26
SENSEX,2024-01-02,72332.85,72332.85,71613.74,71892.48
SENSEX,2024-01-03,71832.62,71862.0,71303.97,71356.6
